MeB_initial,ReB_initial,nB_initial,MeB_guess,ReB_guess,nB_guess,MeD_guess,ReD_guess,MeB_final,ReB_final,nB_final,MeD_final,ReD_final,MeB_stderr,ReB_stderr,nB_stderr,MeD_stderr,ReD_stderr,redchi
18.0,8.5,2.2999999999999998,16.2,7.6500000000000004,2.0699999999999998,23.1,9.9,18.002055197496677,8.5195448445024677,2.3013279294130857,21.023315960951457,8.938553340224999,0.00059972835995584215,0.0043756908042674016,0.00041163875942002245,0.004771754377553704,0.02761178277183942,115.93640369005799
18.0,8.5,2.3999999999999995,16.2,7.6500000000000004,2.1599999999999997,23.1,9.9,18.002149291296817,8.5193727182712209,2.4013951172063761,21.022755296699643,8.9450541195128466,0.00060417850175300408,0.0043369503026894716,0.00042216617097209913,0.0045609060612779809,0.0259483253561139,116.07822395888452
18.0,8.5,2.4999999999999996,16.2,7.6500000000000004,2.2499999999999996,23.1,9.9,18.002238690417716,8.5192471310404354,2.5014647232967828,21.022253611657788,8.9507439743310311,0.00061114911643872451,0.004311321064060656,0.00043428307709933222,0.0043911456382315344,0.02450969532625627,116.25391189481738
18.0,8.5,2.5999999999999996,16.2,7.6500000000000004,2.3399999999999999,23.1,9.9,18.002323894417863,8.5191583346671589,2.6015364379571428,21.021801247422751,8.9557730815786432,0.00061993374589931478,0.0042962218920897478,0.00044776222931893622,0.0042522619285068446,0.023252894972453711,116.45771857074496
18.0,8.5,2.6999999999999993,16.2,7.6500000000000004,2.4299999999999993,23.1,9.9,18.002405340271665,8.5190990592378988,2.7016100284480284,21.021390515740585,8.9602554065521485,0.00063004428488959473,0.0042896983518612092,0.00046243176814937854,0.0041370241283740549,0.022145399560073841,116.68472957235117
18.0,8.5,2.7999999999999994,16.2,7.6500000000000004,2.5199999999999996,23.1,9.9,18.002483405289958,8.519063757257415,2.8016853141568987,21.021015224638859,8.9642792816735479,0.00064113408081785677,0.0042902326343465602,0.00047815702607957258,0.0040401958867048119,0.02116203745645686,116.93073472285958
18.0,8.5,2.8999999999999995,16.2,7.6500000000000004,2.6099999999999994,23.1,9.9,18.002558409925591,8.5190480882967705,2.9017621481170996,21.0206703178883,8.9679144994224238,0.00065295179793642205,0.0042966229470928711,0.00049483047779727725,0.0039579172533280782,0.020283008305087606,117.19212218307166
18.0,8.5,2.9999999999999996,16.2,7.6500000000000004,2.6999999999999997,23.1,9.9,18.002630642602284,8.5190487097184544,3.0018404195456467,21.020351709890903,8.9712166656740724,0.0006653169567213148,0.004307931672416148,0.00051236887245408047,0.0038872821906284906,0.019492652046369466,117.46579108153178
18.0,8.5,3.0999999999999996,16.2,7.6500000000000004,2.7899999999999996,23.1,9.9,18.002700340401695,8.5190628696561816,3.1019200278177346,21.020055969906416,8.9742312480403452,0.00067809076332522021,0.0043233783241877037,0.00053070055990732422,0.0038260820574294281,0.018778190051584074,117.74907860830224
18.0,8.5,3.1999999999999993,16.2,7.6500000000000004,2.8799999999999994,23.1,9.9,18.002767736335429,8.5190885105603886,3.202000909420625,21.019780319696931,8.9769948848513188,0.00069117466037787068,0.0043423604141298007,0.00054977174529768002,0.0037726060644384524,0.018129395847106284,118.03969864771963
18.0,8.5,3.2999999999999994,16.2,7.6500000000000004,2.9699999999999993,23.1,9.9,18.002833014871054,8.5191238373142983,3.3020829964080134,21.019522369913325,8.9795385128722494,0.00070448710411946333,0.0043643472002964792,0.00056953191226080549,0.0037255200154925339,0.017537644139303348,118.33568975259864
18.0,8.5,3.3999999999999995,16.2,7.6500000000000004,3.0599999999999996,23.1,9.9,18.002896357991027,8.5191674946938356,3.4021662465481617,21.019280176927644,8.9818876480143057,0.00071797228593276964,0.004388936249168425,0.00058994537016784996,0.0036837600378136276,0.016995938214904471,118.63537082769371
18.0,8.5,3.4999999999999991,16.2,7.6500000000000004,3.1499999999999995,23.1,9.9,18.002957903365012,8.5192182199523145,3.5022506054654885,21.019052004455521,8.9840643487254308,0.0007315786229248393,0.00441574763608383,0.00061097361505692651,0.0036464819382561226,0.016498202358586386,118.93730317558865
18.0,8.5,3.5999999999999992,16.2,7.6500000000000004,3.2399999999999993,23.1,9.9,18.00301781668535,8.5192752139372754,3.6023360623734089,21.01883649514707,8.9860864981501116,0.00074527783921394879,0.0044445261152045419,0.00063259601612181235,0.0036129982951019933,0.016039607781281134,119.24025791998437
18.0,8.5,3.6999999999999993,16.2,7.6500000000000004,3.3299999999999996,23.1,9.9,18.003076214522039,8.5193376261692766,3.7024225831512778,21.018632394060528,8.9879701429976251,0.00075903857455745095,0.0044750062008470605,0.00065478565238590535,0.0035827535966707629,0.015615789199537582,119.543187938087
18.0,8.5,3.7999999999999994,16.2,7.6500000000000004,3.4199999999999995,23.1,9.9,18.003133201219171,8.5194047361829721,3.8025101380313862,21.018438608501011,8.9897291182672845,0.00077283641150574316,0.004506965613986399,0.00067751945522313535,0.0035552909887646552,0.015223034752317616,119.84520363783042
18.0,8.5,3.8999999999999995,16.2,7.6500000000000004,3.5099999999999998,23.1,9.9,18.003188907933804,8.5194761461366557,3.9025987338398691,21.018254306537479,8.9913748148237733,0.00078666078817967225,0.0045402589507920008,0.00070078703262882133,0.0035302284793472579,0.014858326910026804,120.14555200178499
18.0,8.5,3.9999999999999991,16.2,7.6500000000000004,3.5999999999999992,23.1,9.9,18.003243407218005,8.5195512586285549,4.0026883377772231,21.018078622939825,8.9929180132628659,0.00080049207268698445,0.0045747036992300509,0.00072456675204808131,0.0035072554593219714,0.014518796808348599,120.44359844495274
18.0,8.5,4.0999999999999996,16.2,7.6500000000000004,3.6899999999999999,23.1,9.9,18.003296804113941,8.5196297792948243,4.1027789564389465,21.017910900312721,8.9943674760970449,0.00081432370542579963,0.0046101878599723754,0.00074884996908326903,0.0034861026635803639,0.014202145904436084,120.73881107778048
18.0,8.5,4.1999999999999993,16.2,7.6500000000000004,3.7799999999999994,23.1,9.9,18.003349161381408,8.5197112771065591,4.2028705666414155,21.017750485210783,8.9957315597817615,0.00082814607961927253,0.0046465925378649103,0.00077362423197264519,0.0034665496082459239,0.013906234912071096,121.03074703836742
18.0,8.5,4.2999999999999989,16.2,7.6500000000000004,3.8699999999999992,23.1,9.9,18.003400569208178,8.5197955578047431,4.3029631792137026,21.017596870569832,8.9970170858994951,0.00084195263526248246,0.0046838198528660934,0.00079887970948238035,0.0034484086062776319,0.013629237967164799,121.31904061361648
18.0,8.5,4.3999999999999986,16.2,7.6500000000000004,3.9599999999999986,23.1,9.9,18.003451078042211,8.5198822803825482,4.403056774854285,21.017449521048306,8.9982306295312195,0.00085573689633514343,0.0047217769920095045,0.00082460569530423277,0.0034315172007968568,0.013369499048004658,121.60339292695819
18.0,8.5,4.4999999999999991,16.2,7.6500000000000004,4.0499999999999989,23.1,9.9,18.003500760288922,8.519971289522875,4.5031513613569629,21.017308035548389,8.9993777102297159,0.00086949591629402402,0.0047603946484654795,0.00085079610031369389,0.0034157370520558222,0.013125584916660066,121.88356293791823
18.0,8.5,4.5999999999999988,16.2,7.6500000000000004,4.1399999999999988,23.1,9.9,18.003549678933947,8.5200624326527059,4.6032469435530112,21.017172051369926,9.0004633801405589,0.00088322909222622516,0.0047996201342034367,0.00087744621042993231,0.003400953727992353,0.012896232720727537,122.15935962783568
18.0,8.5,4.6999999999999993,16.2,7.6500000000000004,4.2299999999999995,23.1,9.9,18.003597864947743,8.5201554297902486,4.7033435004273603,21.017041146461466,9.0014924312512434,0.00089692940270483354,0.0048393709320130266,0.00090454551279174362,0.0033870572334717465,0.012680219878285173,122.43063518734994
18.0,8.5,4.7999999999999989,16.2,7.6500000000000004,4.3199999999999994,23.1,9.9,18.003645398099291,8.5202503081984009,4.8034410639050726,21.016915101234339,9.0024686602111412,0.00091060270150465324,0.0048796338040094245,0.00093209673271317484,0.0033739635458597864,0.012476617466393714,122.69727907223525
18.0,8.5,4.8999999999999986,16.2,7.6500000000000004,4.4099999999999993,23.1,9.9,18.003692305755685,8.5203468475968993,4.903539618487339,21.016793570007991,9.0033959793279337,0.00092424180183176485,0.0049203358702759378,0.00096008782053440093,0.0033615992921240223,0.012284400528166751,122.95921284051187
18.0,8.5,4.9999999999999991,16.2,7.6500000000000004,4.4999999999999991,23.1,9.9,18.003738612076535,8.520444847253053,5.003639147664293,21.016676251718941,9.0042779881442883,0.00093784428845008886,0.0049614269807256939,0.00098851324259581074,0.0033498875985706685,0.012102711958662804,123.21638563802165
18.0,8.5,5.0999999999999988,16.2,7.6500000000000004,4.589999999999999,23.1,9.9,18.003784383549771,8.5205443565520778,5.1037396837647577,21.016562971038589,9.0051174191343115,0.00095141525582840896,0.0050029002752221266,0.0010173749952031848,0.0033387775814428429,0.011930862592237803,123.46877026959586
